date,premise_code,item_code,price,premise,address,premise_type,state,district
2023-10-01,115,1,9.4,TAMPIN SHOPPING CENTRE,"NO 111,JALAN BESAR,73000 TAMPIN, NEGERI SEMBILAN.",Pasar Raya / Supermarket,Negeri Sembilan,Tampin
2023-10-01,239,1,8.3,FAMILY STORE RASAH JAYA,"NO. 3745 & 3746,JALAN RJ 6/12 TAMAN RASAH JAYA,70300 SEREMBAN, NEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Seremban
2023-10-01,261,1,7.79,TESCO SEREMBAN 2,"NO. 1,JLN HARUAN 2 BKT KEPAYANG,70300 SEREMBAN NEGERI SEMBILAN",Hypermarket,Negeri Sembilan,Seremban
2023-10-01,656,1,7.6,FAMILY STORE SIKAMAT,"NO.10-12,LORONG DESA KIARA 2/3, TAMAN DESA KIARA,70400 SEREMBAN, NEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Seremban
2023-10-01,907,1,7.99,ECONSAVE CASH & CARRY (BH) SDN BHD. BAHAU,"NO. 18-26,JALAN DATO ½ BESAR,72100 BAHAU, N. SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Bahau
2023-10-01,2020,1,9.4,PASAR AWAM JOHOL,"PASAR AWAM JOHOL,73100 JOHOL,N.SEMBILAN,",Pasar Basah ,Negeri Sembilan,Johol
2023-10-01,2573,2,10.4,GRAND UNION STORE,"LOT PT 9979-9983,PUTRA POINTS PHASE 2AJALAN BBN 1/3L,71800 NILAINEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Seremban
2023-10-01,2612,1,7.4,B FAMILY MART SDN BHD,"NO. 159-168,LORONG DALAM 6,TAMAN DATO' LELA MAHARAJA,PEKAN CHEMBONG,71300 REMBAU,N.SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Rembau
2023-10-01,2663,1,9.2,THE STORE PORT DICKSON,"LOT G 21, GROUND FLOOR, OCEANIC MALL,BATU 1/2 JALAN PANTAI,",Pasar Raya / Supermarket,Negeri Sembilan,Port Dickson
2023-10-01,2670,1,7.99,BILLION PORT DICKSON,"LOT 28-41,SEBAHAGIAN LOT PT 72, KAWASAN PENAMBAHAN LAUT,71000, PORT DICKSON, NEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Port Dickson
